Month,AA,AS,B6,DL,EV,F9,HA,MQ,NK,OO,UA,US,VX,WN
Jan,-3,-6,-3,-8,-3,2,-1,3,-1,-2,-4,-4,-5,-4
Feb,-3,-6,3,-5,-1,6,1,5,2,-2,-2,-2,-4,-4
Mar,-3,-6,-4,-6,-3,4,0,-1,-2,-5,-5,-4,-3,-4
Apr,-6,-7,-7,-7,-4,1,-2,-6,-1,-5,-5,-3,-5,-4
May,-6,-5,-10,-8,-4,0,-2,-6,4,-4,-4,-6,-2,-4
Jun,-5,-5,-7,-6,-1,1,-2,-3,12,-3,0,-4,-3,-1
Jul,-6,-4,-5,-7,-4,0,-2,-7,0,-4,-4,0,-2,-1
Aug,-6,-3,-4,-7,-5,-3,0,-8,3,-4,-6,0,-3,-4
Sep,-8,-6,-6,-9,-6,-8,-1,-11,-3,-6,-9,0,-4,-7
Oct,-7,-7,-4,-9,-5,-7,-3,-11,-3,-5,-10,0,-5,-6
Nov,-7,-7,-6,-9,-5,0,-4,-10,-2,-4,-10,0,-5,-5
Dec,-5,-6,-1,-8,-5,-6,-4,-9,1,-2,-8,0,-1,-3
