Dist,AIRLINE,ARRIVAL_DELAY,DISTANCE
0-100,AA,-5.0,951.0
0-100,AS,-5.0,954.0
0-100,B6,-4.0,1028.0
0-100,DL,-7.0,640.0
0-100,EV,-4.0,438.0
0-100,F9,-2.0,888.0
0-100,HA,-1.0,163.0
0-100,MQ,-5.0,335.0
0-100,NK,0.0,957.0
0-100,OO,-4.0,447.0
0-100,UA,-6.0,1065.0
0-100,US,-4.0,650.0
0-100,VX,-3.5,1381.0
0-100,WN,-4.0,628.0
100-250,AA,-6.0,964.0
100-250,AS,-5.0,954.0
100-250,B6,-5.0,1023.0
100-250,DL,-8.0,640.0
100-250,EV,-4.0,429.0
100-250,F9,-2.0,895.0
100-250,HA,-2.0,163.0
100-250,MQ,-6.0,364.0
100-250,NK,0.0,957.0
100-250,OO,-4.0,430.0
100-250,UA,-6.0,1050.0
100-250,US,-4.0,650.0
100-250,VX,-4.0,1381.0
100-250,WN,-4.0,628.0
1050-1300,AA,-6.0,964.0
1050-1300,AS,-6.0,954.0
1050-1300,B6,-5.0,1010.0
1050-1300,DL,-8.0,651.0
1050-1300,EV,-4.0,429.0
1050-1300,F9,-1.0,895.0
1050-1300,HA,-2.0,163.0
1050-1300,MQ,-6.0,364.0
1050-1300,NK,0.0,936.0
1050-1300,OO,-4.0,436.0
1050-1300,UA,-6.0,1065.0
1050-1300,US,-4.0,650.0
1050-1300,VX,-3.5,1381.0
1050-1300,WN,-4.0,628.0
1300-2000,AA,-6.0,964.0
1300-2000,AS,-6.0,954.0
1300-2000,B6,-5.0,1011.0
1300-2000,DL,-8.0,645.0
1300-2000,EV,-4.0,429.0
1300-2000,F9,-2.0,895.0
1300-2000,HA,-2.0,163.0
1300-2000,MQ,-6.0,364.0
1300-2000,NK,0.0,936.0
1300-2000,OO,-4.0,438.0
1300-2000,UA,-6.0,1062.0
1300-2000,US,-4.0,651.0
1300-2000,VX,-3.0,1246.0
1300-2000,WN,-4.0,628.0
2000-3000,AA,-6.0,977.0
2000-3000,AS,-6.0,954.0
2000-3000,B6,-5.0,1023.0
2000-3000,DL,-8.0,636.0
2000-3000,EV,-4.0,430.0
2000-3000,F9,-1.0,895.0
2000-3000,HA,-2.0,163.0
2000-3000,MQ,-6.0,373.5
2000-3000,NK,0.0,946.0
2000-3000,OO,-4.0,438.0
2000-3000,UA,-6.0,1062.0
2000-3000,US,-4.0,651.0
2000-3000,VX,-4.0,1381.0
2000-3000,WN,-4.0,628.0
250-400,AA,-6.0,964.0
250-400,AS,-5.0,954.0
250-400,B6,-5.0,1023.0
250-400,DL,-8.0,640.0
250-400,EV,-4.0,429.0
250-400,F9,-1.0,895.0
250-400,HA,-2.0,163.0
250-400,MQ,-6.0,364.0
250-400,NK,0.0,966.0
250-400,OO,-4.0,438.0
250-400,UA,-6.0,1041.0
250-400,US,-3.0,651.0
250-400,VX,-4.0,1381.0
250-400,WN,-4.0,628.0
400-650,AA,-6.0,964.0
400-650,AS,-6.0,954.0
400-650,B6,-5.0,1011.0
400-650,DL,-8.0,640.0
400-650,EV,-4.0,429.0
400-650,F9,-1.0,895.0
400-650,HA,-2.0,163.0
400-650,MQ,-6.0,364.0
400-650,NK,0.0,957.0
400-650,OO,-4.0,438.0
400-650,UA,-6.0,1062.0
400-650,US,-4.0,651.0
400-650,VX,-4.0,1381.0
400-650,WN,-4.0,623.0
650-850,AA,-6.0,951.0
650-850,AS,-5.0,954.0
650-850,B6,-5.0,1010.0
650-850,DL,-8.0,651.0
650-850,EV,-4.0,429.0
650-850,F9,-1.0,895.0
650-850,HA,-2.0,163.0
650-850,MQ,-6.0,364.0
650-850,NK,0.0,957.0
650-850,OO,-4.0,438.0
650-850,UA,-6.0,1065.0
650-850,US,-4.0,651.0
650-850,VX,-3.0,1381.0
650-850,WN,-4.0,623.0
850-1050,AA,-6.0,964.0
850-1050,AS,-5.0,954.0
850-1050,B6,-5.0,1010.0
850-1050,DL,-8.0,645.0
850-1050,EV,-4.0,429.0
850-1050,F9,-1.0,895.0
850-1050,HA,-2.0,163.0
850-1050,MQ,-5.0,364.0
850-1050,NK,0.0,966.0
850-1050,OO,-4.0,436.0
850-1050,UA,-6.0,1062.0
850-1050,US,-4.0,651.0
850-1050,VX,-4.0,1246.0
850-1050,WN,-4.0,623.0
>3000,AA,-6.0,964.0
>3000,AS,-5.0,954.0
>3000,B6,-5.0,1011.0
>3000,DL,-8.0,645.0
>3000,EV,-4.0,429.0
>3000,F9,-2.0,895.0
>3000,HA,-2.0,163.0
>3000,MQ,-6.0,364.0
>3000,NK,0.0,957.0
>3000,OO,-4.0,438.0
>3000,UA,-6.0,1062.0
>3000,US,-4.0,651.0
>3000,VX,-3.0,1381.0
>3000,WN,-4.0,623.0
