President	Height	Weight
Washignton	188	79.4
J. Adams	170.2	
Jefferson	189.2	
Madison	167.6	45.4
Monroe	182.9	
J. Q. Adams	170.2	79.5
Jackson	185.4	63.6
Van Buren	167.6	
W. Harrison	172.7	
Tyler	182.9	
Polk	172.7	
Taylor	172.7	77.2
Fillmore	175.2	
Pierce	177.8	
Buchanan	182.9	
Linclon	193	81.7
A. Johnson	177.8	
Grant	174	
Hayes	174	81.7
Garfield	182.9	84
Arthur	188	102.2
Cleveland	180.3	118.4
B. Harrison	167.6	
Cleveland	180.3	118.4
McKinley	170.2	90.8
T. Roosevelt	177.8	90.8
Taft	188	150.7
Willson	180.3	77.2
Harding	182.9	
Coolidge	177.8	
Hoover	180.3	
F. Roosevelt	188	85.3
Truman	175.2	75.8
Eisenhower	179.1	78.5
Kennedy	182.9	79.4
L. Johnson	190.5	90.8
Nixon	181.6	79.5
Ford	182.9	88.5
Carter	176.5	72.6
Reagan	185.4	84
G. H. W. Bush	188	88.5
Clinton	188	104.4
G. W. Bush	180.3	87.2
Obama	185.4	81.7
Trump	188	107.1
